episode,rating,votes
682.0,7.7,983.0
683.0,8.0,1196.0
684.0,7.8,1093.0
685.0,8.0,1189.0
686.0,7.9,1163.0
687.0,8.6,1756.0
688.0,7.7,1087.0
689.0,7.9,1128.0
690.0,7.5,940.0
691.0,7.5,938.0
692.0,8.1,1448.0
693.0,7.3,952.0
694.0,7.3,941.0
695.0,8.1,1178.0
696.0,8.5,1716.0
697.0,9.1,2946.0
698.0,9.3,3699.0
699.0,9.2,2931.0
700.0,8.9,2726.0
701.0,9.3,3141.0
702.0,9.2,3082.0
703.0,9.4,3595.0
704.0,9.2,3117.0
705.0,9.4,3668.0
706.0,9.7,13928.0
707.0,8.3,1680.0
708.0,9.1,2873.0
709.0,7.8,1164.0
710.0,8.2,1262.0
711.0,7.8,1127.0
712.0,8.2,1571.0
713.0,8.6,1851.0
714.0,7.6,1097.0
715.0,9.1,3021.0
716.0,8.8,2171.0
717.0,8.7,1904.0
718.0,8.3,1644.0
719.0,9.5,4643.0
720.0,9.0,2728.0
721.0,9.1,2686.0
722.0,9.3,2918.0
723.0,9.5,5246.0
724.0,9.0,2686.0
725.0,9.3,4299.0
726.0,9.7,23249.0
727.0,8.9,2315.0
728.0,9.2,3257.0
729.0,8.7,2012.0
730.0,7.8,1142.0
731.0,7.7,985.0
732.0,8.1,1210.0
733.0,9.4,4127.0
734.0,7.7,1107.0
735.0,8.4,1661.0
736.0,9.1,2778.0
737.0,8.7,1918.0
738.0,9.1,2754.0
739.0,9.2,3110.0
740.0,7.8,1121.0
741.0,7.7,1078.0
742.0,7.8,1047.0
743.0,9.1,2714.0
744.0,9.2,2960.0
745.0,9.1,2843.0
746.0,8.8,1959.0
747.0,6.4,748.0
748.0,6.2,746.0
749.0,6.3,729.0
750.0,6.3,726.0
751.0,7.1,834.0
752.0,7.6,856.0
753.0,7.4,857.0
754.0,7.5,835.0
755.0,7.5,875.0
756.0,7.5,842.0
757.0,7.5,837.0
758.0,7.4,841.0
759.0,7.7,1003.0
760.0,7.7,999.0
761.0,7.6,896.0
762.0,7.9,1076.0
763.0,8.4,1608.0
764.0,8.6,1750.0
765.0,7.3,894.0
766.0,7.6,1024.0
767.0,9.2,2904.0
768.0,7.8,1093.0
769.0,8.7,1958.0
770.0,9.1,2709.0
771.0,8.2,1023.0
772.0,8.0,950.0
773.0,7.9,914.0
774.0,8.1,1030.0
775.0,7.2,835.0
776.0,7.5,839.0
777.0,7.0,917.0
778.0,7.1,884.0
779.0,7.7,858.0
780.0,6.8,748.0
781.0,6.7,754.0
782.0,7.0,746.0
783.0,7.6,1078.0
784.0,7.6,1077.0
785.0,8.4,1843.0
786.0,7.9,1152.0
787.0,7.7,1072.0
788.0,7.4,1026.0
789.0,7.8,1073.0
790.0,7.7,1065.0
791.0,7.2,918.0
792.0,7.3,904.0
793.0,8.2,1144.0
794.0,7.9,1120.0
795.0,7.5,1033.0
796.0,7.6,1023.0
797.0,7.7,1065.0
798.0,8.2,1539.0
799.0,8.5,1833.0
800.0,8.6,1808.0
801.0,8.3,1614.0
802.0,8.8,2396.0
803.0,9.2,2901.0
804.0,9.5,5068.0
805.0,8.9,2620.0
806.0,9.1,3035.0
807.0,8.3,2247.0
808.0,9.7,44939.0
809.0,9.0,2953.0
810.0,9.1,2771.0
811.0,8.9,2610.0
812.0,8.8,2495.0
813.0,8.5,1876.0
814.0,8.5,1861.0
815.0,8.9,2531.0
816.0,9.0,2708.0
817.0,9.6,6168.0
818.0,9.2,2899.0
819.0,9.2,2924.0
820.0,8.9,2670.0
821.0,8.5,1945.0
822.0,7.9,1351.0
823.0,8.3,1689.0
824.0,8.8,2059.0
825.0,9.5,4673.0
826.0,8.9,2517.0
827.0,7.9,1298.0
828.0,8.5,1786.0
829.0,7.9,1206.0
830.0,8.7,2030.0
831.0,7.9,1210.0
832.0,9.2,2902.0
833.0,9.5,4948.0
834.0,9.1,2686.0
835.0,9.1,2628.0
836.0,8.0,1278.0
837.0,8.8,2400.0
838.0,8.1,1241.0
839.0,8.4,1718.0
840.0,7.9,1163.0
841.0,8.6,1810.0
842.0,8.6,1811.0
843.0,7.8,1138.0
844.0,7.7,1093.0
845.0,7.8,1131.0
846.0,7.8,1124.0
847.0,7.8,1131.0
848.0,7.8,1162.0
849.0,9.4,3928.0
850.0,9.3,3744.0
851.0,8.9,2589.0
852.0,9.0,2731.0
853.0,8.5,1897.0
854.0,8.8,2450.0
855.0,8.6,1903.0
856.0,9.3,3530.0
